GenusSpecies,NestLoc,Excavate,Sociality,Lecty,MeanITD,SDITD,ITDCV,Specimen1,Specimen2,Specimen3,Specimen4,Specimen5,Neal,InKremen,PredForDist_Typical,CILow_Typical,CIHigh_Typical,PredForDist_Feeder,CILow_Feeder,CIHigh_Feeder,PredForDist_HomingMax,CILow_HomingMax,CIHigh_HomingMax,abun.net,abun.pan,num.occ.net,num.occ.pan,d,GenusSpecies
Anthidium manicatum,above,rent,solitary,polylectic,2.241171223,NA,NA,NA,NA,NA,NA,NA,no,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,0.365981333,Anthidium manicatum
Anthidium mormonum,above,rent,solitary,polylectic,2.292682927,NA,NA,2.292682927,NA,NA,NA,NA,yes,no,0.622031365,0.224099809,1.726565588,1.076242346,0.47014146,2.463721425,0.86063731,0.332080571,2.132149842,0,0,0,0,NA,Anthidium mormonum
Anthidium utahense,above,rent,solitary,polylectic,2.098018293,0.093740085,0.044680299,2,2.048780488,2.097560976,2.25,2.09375,yes,no,0.548979409,0.207285536,1.453928708,0.984466748,0.449623432,2.005657676,0.755942476,0.305582467,1.796160361,0,1,0,1,NA,Anthidium utahense
Anthophora bomboides stanfordiana,below,ex,solitary,polylectic,4.312,0.279141541,0.064735979,4.52,4.56,4.44,3.92,4.12,yes,no,1.513808278,0.39046763,5.86890007,2.029951607,0.645944298,6.848434541,2.166967403,0.600277487,7.227696969,0,0,0,0,NA,Anthophora bomboides stanfordiana
Anthophora californica,below,ex,solitary,polylectic,3.58,0.083666003,0.023370392,3.6,3.5,3.5,3.6,3.7,yes,no,1.164962354,0.331561902,4.093164138,1.683931841,0.58824988,4.861062681,1.650982009,0.504231179,5.044908256,0,0,0,0,NA,Anthophora californica
Anthophora curta,below,ex,solitary,polylectic,2.682926829,NA,NA,2.682926829,NA,NA,NA,NA,yes,yes,0.776118411,0.25730433,2.341040233,1.260328272,0.508814903,3.121817664,1.082959224,0.38478823,2.888996721,0,3,0,2,NA,Anthophora curta
Anthophora edwardsii,below,ex,solitary,polylectic,4.08,0.31144823,0.076335351,4,3.6,4.1,4.3,4.4,yes,no,1.400403275,0.37193959,5.272709291,1.920253017,0.628225858,5.697024665,1.998670299,0.569956425,6.495032966,0,1,0,1,NA,Anthophora edwardsii
Anthophora pacifica,below,ex,solitary,polylectic,4.467828128,0.268996183,0.06020737,4.243902439,4.2857143,4.7619048,4.2857143,4.7619048,yes,no,1.591397748,0.402844451,6.286661725,2.103648267,0.65758036,6.228218756,2.28239351,0.62058553,7.740987302,0,0,0,0,NA,Anthophora pacifica
Anthophora urbana,below,ex,solitary,polylectic,2.975609756,0.059743653,0.020077785,2.975609756,3.024390244,2.87804878,3.024390244,2.975609756,yes,yes,0.897926832,0.281821263,2.860935999,1.39847342,0.536011843,3.648665476,1.259930711,0.423999481,3.528994845,194,47,65,35,0.56659998,Anthophora urbana
Anthophorula chionura,below,ex,solitary,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,38,0,23,NA,Anthophorula chionura
Ashmeadiella aridula astragali,above,rent,solitary,polylectic,1.314240528,0.069005742,0.052506174,1.245901639,1.253012,1.301205,1.373494,1.39759,yes,yes,0.284149117,0.137407805,0.587599231,0.615386312,0.355377556,0.983279043,0.381539675,0.197128464,0.727386801,61,124,37,59,0.212845505,Ashmeadiella aridula astragali
Ashmeadiella bucconis denticulata,above,rent,solitary,oligolectic,1.5228916,0.095477613,0.06269495,1.445783,1.518072,1.493976,1.46988,1.686747,yes,yes,0.349662411,0.156409461,0.781690576,0.71356152,0.382713233,1.230274849,0.473247782,0.22632114,0.96703268,28,3,11,3,0.473001015,Ashmeadiella bucconis denticulata
Ashmeadiella cactorum basalis,above,rent,solitary,polylectic,1.2081632,0.056630388,0.046873128,1.285714,1.22449,1.22449,1.142857,1.163265,yes,yes,0.252397818,0.127609842,0.499214303,0.56550085,0.340650399,1.030982968,0.337373309,0.182177654,0.61820135,3,3,2,3,0.847941249,Ashmeadiella cactorum basalis
Ashmeadiella timberlakei solida,above,rent,solitary,polylectic,1.208,0.176974574,0.146502131,1.2,1.2,1.5,1.1,1.04,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,0.723140138,Ashmeadiella timberlakei solida
Bombus californicus,mix,rent,social,polylectic,3.32195102,0.199788664,0.060141966,3.609756098,3.333333,3.333333,3.285714,3.047619,yes,yes,1.048496082,0.31046003,3.541016321,1.562024176,0.566529205,4.880917498,1.479951911,0.470088915,4.365793021,88,16,36,11,0.536941837,Bombus californicus
Bombus crotchii,below,rent,social,polylectic,5.3,0.291547595,0.05500898,5.3,5.4,5.2,4.9,5.7,yes,yes,2.024053875,0.4681036,8.751896138,2.497399739,0.716563405,8.704052448,2.929736763,0.728321525,10.768526,17,1,4,1,0.584044078,Bombus crotchii
Bombus melanopygus,mix,rent,social,polylectic,3.86,0.384707681,0.099665202,3.4,4.3,4.2,3.8,3.6,yes,yes,1.295265951,0.354251808,4.735935976,1.81625454,0.610955043,4.460089728,1.843107245,0.541103559,5.83522897,29,1,16,1,0.377096608,Bombus melanopygus
Bombus vandykei,NA,rent,social,polylectic,3.6285714,0.419750567,0.115679291,3,3.761905,3.428571,4.047619,3.904762,no,yes,1.187277716,0.335512858,4.201413862,1.706882508,0.592250205,3.693802855,1.683828847,0.510640011,5.178025188,6,1,4,1,0.373104578,Bombus vandykei
Bombus vosnesenskii,below,rent,social,polylectic,3.551219512,0.448939526,0.126418411,2.926829268,3.268292683,3.902439024,4,3.658536585,yes,yes,1.151797671,0.329217747,4.029666956,1.670333321,0.585866791,3.558952094,1.63161566,0.500431118,4.966820794,184,2,47,2,0.409113291,Bombus vosnesenskii
Calliopsis fracta,below,ex,solitary,oligolectic,1.458536585,0.081625368,0.055963881,1.390243902,1.463414634,1.56097561,1.512195122,1.365853659,yes,yes,0.329038661,0.150584434,0.71897498,0.683274073,0.374492413,1.15979073,0.444300441,0.217345634,0.889613755,3,3,1,3,0.875141998,Calliopsis fracta
Calliopsis hesperia equina,below,ex,solitary,oligolectic,1.2705572,0.106962906,0.084185825,1.084337,1.325301,1.349398,1.28125,1.3125,no,yes,0.270941938,0.133384987,0.550358293,0.594840864,0.349387139,0.797677988,0.363144138,0.190981165,0.681386413,3,0,1,0,0.382727933,Calliopsis hesperia equina
Calliopsis scitula,below,ex,solitary,polylectic,1.4081632,0.032268197,0.022915098,1.387755,1.428571,1.44898,1.408163,1.367347,NA,yes,0.313151868,0.146003257,0.671656881,0.659571015,0.367931008,1.156664917,0.422048926,0.210302808,0.831192226,1,0,1,0,0.464415025,Calliopsis scitula
Calliopsis scutellaris,below,ex,solitary,polylectic,1.6625,0.064043442,0.038522371,1.65625,1.71875,1.65625,1.71875,1.5625,no,yes,0.395624117,0.168945616,0.926442753,0.779285118,0.399973092,1.509726624,0.53798948,0.245711708,1.145669704,2,2,2,2,0.545255162,Calliopsis scutellaris
Ceratina acantha,above,ex,solitary,polylectic,1.154098361,0.084866748,0.073535108,1.081967213,1.213114754,1.180327869,1.245901639,1.049180328,yes,yes,0.236641542,0.12257643,0.456851446,0.540083054,0.332896779,0.795053795,0.315533427,0.174526273,0.56585386,472,106,105,46,0.198858549,Ceratina acantha
Ceratina arizonensis,above,ex,solitary,polylectic,0.852459016,0.032786886,0.038461539,0.819672131,0.885245902,0.885245902,0.819672131,0.852459016,yes,yes,0.154469829,0.09391954,0.254057121,0.398378718,0.285852288,0.523354673,0.202634185,0.131387203,0.315088135,90,84,30,53,0.306676333,Ceratina arizonensis
Ceratina dallatorreana,above,ex,solitary,polylectic,1.285245902,0.071080273,0.055304805,1.31147541,1.245901639,1.344262295,1.180327869,1.344262295,yes,yes,0.27536256,0.134739516,0.562749085,0.601749005,0.351412705,1.062253088,0.369297636,0.193049679,0.696692399,101,173,55,100,0.135753868,Ceratina dallatorreana
Ceratina nanula,above,ex,solitary,polylectic,1.02295082,0.078277616,0.076521387,0.950819672,0.983606557,0.983606557,1.049180328,1.147540984,yes,yes,0.199677665,0.110244575,0.361661064,0.478448859,0.313301844,0.654452948,0.264522518,0.155869924,0.448186274,92,137,43,49,0.12907333,Ceratina nanula
Ceratina punctigena,above,ex,solitary,polylectic,1.619512195,0.159565144,0.09852667,1.853658537,1.56097561,1.707317073,1.463414634,1.512195122,yes,yes,0.381297126,0.165099603,0.880604772,0.759044941,0.394737982,1.788768015,0.517775926,0.23975233,1.089108848,1,2,1,2,0.383901179,Ceratina punctigena
Ceratina sequoiae,above,ex,solitary,oligolectic,1.481967213,0.084866748,0.057266279,1.540983607,1.37704918,1.508196721,1.409836066,1.573770492,yes,no,0.336505336,0.152708763,0.741515018,0.69430056,0.377505966,1.354298393,0.454772817,0.220616294,0.917439859,0,2,0,1,NA,Ceratina sequoiae
Ceratina tejonensis,above,ex,solitary,polylectic,1.609756098,0.209812811,0.130338262,1.609756098,1.463414634,1.951219512,1.414634146,1.609756098,yes,no,0.37806701,0.164225039,0.87035853,0.754451761,0.39354029,1.446351175,0.513222618,0.238398473,1.076464813,0,0,0,0,NA,Ceratina tejonensis
Ceratina timberlakei,above,ex,solitary,polylectic,1.264,0.040987803,0.032427059,1.2,1.26,1.26,1.3,1.3,no,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,0.659338081,Ceratina timberlakei
Chelostoma phaceliae,above,rent,solitary,oligolectic,1.081967213,0.061338646,0.056691779,1.049180328,1.049180328,1.147540984,1.016393443,1.147540984,yes,no,0.216086198,0.115816219,0.403166718,0.506180079,0.322265328,0.759046895,0.287125655,0.164282796,0.499500214,0,1,0,1,NA,Chelostoma phaceliae
Coelioxys apacheiorum,NA,rent,solitary,parasite,2.3469388,0.215979719,0.09202614,2.44898,2.489796,2.040816,2.204082,2.55102,no,yes,0.642856805,0.228754837,1.806584184,1.10182796,0.475704243,2.721003665,0.890572237,0.339440301,2.23073885,1,0,1,0,0.155365259,Coelioxys apacheiorum
Coelioxys gilensis,NA,rent,solitary,parasite,2,0.102956301,0.051478151,1.92,2.04,1.88,2.14,2.02,no,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,3,0,0.309603175,Coelioxys gilensis
Coelioxys novomexicana,NA,rent,solitary,parasite,2.55170892,0.210025011,0.08230759,2.2891566,2.612245,2.857143,2.55102,2.44898,no,yes,0.723211571,0.246209178,2.12435207,1.198415668,0.496143763,2.458016309,1.006414072,0.36712297,2.622160343,6,0,6,0,0.169657115,Coelioxys novomexicana
Coelioxys octodentata,NA,rent,solitary,parasite,2.29954924,NA,NA,NA,NA,NA,NA,NA,no,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0,5,0,0.154225174,Coelioxys octodentata
Coelioxys sp. MA,above,rent,solitary,parasite,NA,NA,NA,NA,NA,NA,NA,NA,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,Coelioxys sp. MA
