OBJECTID,unitID,descriptn,instCode,codeRef,unitOwner,cSteward,effDate,instName,Shape_Leng,Shape__Area,Shape__Length
119,DLCD,Comp Plan- See DLCD File,28193,GNIS,28193,DLCD,20180000,Mill City,55628.181828,40174030.586731,55628.1818280384
120,DLCD,Comp Plan- See DLCD File,28195,GNIS,28195,DLCD,19800000,Millersburg,65479.0991839,126747448.920837,65479.0991839102
121,DLCD,Comp Plan- See DLCD File,35899,GNIS,35899,DLCD,20050000,Milton-Freewater,79539.7519583,98454040.654541,79539.7519583434
122,DLCD,Comp Plan- See DLCD File,28061,GNIS,28061,DLCD,19800000,Mitchell,19215.3318997,13581380.5169678,19215.3318997135
123,DLCD,Comp Plan- See DLCD File,2948,GNIS,2948,DLCD,20030000,Molalla,45432.2299981,77136180.3845825,45432.2299980946
124,DLCD,Comp Plan- See DLCD File,34184,GNIS,34184,DLCD,19800000,Monmouth,44070.8054966,84592230.5150757,44070.8054966186
125,DLCD,Comp Plan- See DLCD File,2100,GNIS,2100,DLCD,19900000,Monroe,24552.9640751,14940864.5600281,24552.9640751192
126,DLCD,Comp Plan- See DLCD File,11829,GNIS,11829,DLCD,19800000,Monument,17032.2017493,14190120.6674805,17032.2017492814
127,DLCD,Comp Plan- See DLCD File,34615,GNIS,34615,DLCD,19990000,Moro,17959.7500347,13525583.9121094,17959.7500346616
128,DLCD,Comp Plan- See DLCD File,39280,GNIS,39280,DLCD,19800000,Mosier,21958.9825858,21697111.2304688,21958.9825857502
129,DLCD,Comp Plan- See DLCD File,31984,GNIS,31984,DLCD,19920000,Mt Angel,30945.1895523,37290423.8377686,30945.1895523088
130,DLCD,Comp Plan- See DLCD File,1146532,GNIS,1146532,DLCD,19800000,Mt Vernon,30133.4435509,27134101.3671875,30133.4435509157
131,DLCD,Comp Plan- See DLCD File,9226,GNIS,9226,DLCD,20090000,Myrtle Creek,114250.546202,141936822.459808,114250.54620181
132,DLCD,Comp Plan- See DLCD File,5261,GNIS,5261,DLCD,19940000,Myrtle Point,48836.5151464,51634746.1022186,48836.5151464026
133,DLCD,Comp Plan- See DLCD File,35033,GNIS,35033,DLCD,19800000,Nehalem,64091.2682081,36218610.3949585,64091.268208118
134,DLCD,Comp Plan- See DLCD File,41500,GNIS,41500,DLCD,20090000,Newberg,88347.5880817,194953368.952148,88347.5880817355
135,DLCD,Comp Plan- See DLCD File,27119,GNIS,27119,DLCD,20160000,Newport,229801.404856,372034268.447449,229801.404855669
136,DLCD,Comp Plan- See DLCD File,5262,GNIS,5262,DLCD,19800000,North Bend,57088.9666574,155749591.912415,57088.9666574409
137,DLCD,Comp Plan- See DLCD File,40122,GNIS,40122,DLCD,20060000,North Plains,36923.0086769,30984094.8618774,36923.0086768894
